id,name,youthPopulation,opportunityIndex,retentionRiskLevel,youthParticipationIndex,fertilityRate,policySupportScore
65000010,板橋區,148000,86,low,72,42.1,81
65000020,三重區,132000,78,low,68,40.5,76
65000030,中和區,139000,80,low,70,41.0,78
65000040,永和區,58000,75,medium,65,38.2,70
65000050,新莊區,121000,79,low,69,43.0,79
65000060,新店區,84000,74,medium,64,39.5,73
65000070,樹林區,65000,71,medium,60,41.8,68
65000080,鶯歌區,29000,63,medium,55,44.0,60
65000090,三峽區,44000,66,medium,58,45.2,62
65000100,淡水區,86000,72,medium,63,42.7,71
65000110,汐止區,79000,73,medium,62,40.9,72
65000120,瑞芳區,21000,58,high,48,46.5,54
65000130,土城區,78000,77,low,67,41.3,75
65000140,蘆洲區,68000,76,low,66,39.8,74
65000150,五股區,42000,68,medium,57,43.5,64
65000160,泰山區,29000,65,medium,56,42.0,61
65000170,林口區,58000,81,low,71,44.8,80
65000180,深坑區,9000,61,medium,52,47.0,58
65000190,石碇區,3000,52,high,40,50.2,45
65000200,坪林區,2000,50,high,38,51.0,42
65000210,三芝區,8000,55,high,44,48.6,50
65000220,石門區,5000,53,high,42,49.1,47
65000230,八里區,15000,60,medium,50,45.9,56
65000240,平溪區,2000,49,high,37,52.3,40
65000250,雙溪區,3000,51,high,39,53.1,43
65000260,貢寮區,4000,54,high,41,49.8,46
65000270,金山區,6000,56,high,45,47.8,52
65000280,萬里區,5000,55,high,43,48.9,49
65000290,烏來區,1500,48,high,35,54.0,38
